2024-04-23 15:26:26,065, DEBUG, Using proactor: IocpProactor, asyncio
2024-04-23 15:26:27,072, INFO, Start polling, aiogram.dispatcher
2024-04-23 15:26:27,179, INFO, Run polling for bot @Your_personal_assistantt_bot id=7172564177 - 'info_shortbot', aiogram.dispatcher
2024-04-23 15:26:32,293, INFO, Update id=111290331 is handled. Duration 531 ms by bot id=7172564177, aiogram.event
2024-04-23 15:26:34,115, INFO, Update id=111290332 is handled. Duration 280 ms by bot id=7172564177, aiogram.event
2024-04-23 15:26:35,187, INFO, Update id=111290333 is handled. Duration 313 ms by bot id=7172564177, aiogram.event
2024-04-23 15:26:47,346, INFO, Update id=111290334 is handled. Duration 438 ms by bot id=7172564177, aiogram.event
2024-04-23 15:26:48,925, INFO, Update id=111290335 is handled. Duration 266 ms by bot id=7172564177, aiogram.event
2024-04-23 15:26:49,978, INFO, Update id=111290336 is handled. Duration 233 ms by bot id=7172564177, aiogram.event
2024-04-23 15:26:50,685, INFO, Update id=111290337 is handled. Duration 266 ms by bot id=7172564177, aiogram.event
2024-04-23 15:26:51,243, INFO, Update id=111290338 is handled. Duration 311 ms by bot id=7172564177, aiogram.event
2024-04-23 15:26:55,311, INFO, Update id=111290339 is handled. Duration 532 ms by bot id=7172564177, aiogram.event
2024-04-23 15:26:56,255, INFO, Update id=111290340 is handled. Duration 343 ms by bot id=7172564177, aiogram.event
2024-04-23 15:26:57,244, INFO, Update id=111290341 is handled. Duration 266 ms by bot id=7172564177, aiogram.event
2024-04-23 15:26:58,128, INFO, Update id=111290342 is handled. Duration 250 ms by bot id=7172564177, aiogram.event
2024-04-23 15:27:02,294, INFO, Update id=111290343 is handled. Duration 266 ms by bot id=7172564177, aiogram.event
2024-04-23 15:27:03,123, INFO, Update id=111290344 is handled. Duration 280 ms by bot id=7172564177, aiogram.event
2024-04-23 15:27:04,931, INFO, Update id=111290345 is handled. Duration 375 ms by bot id=7172564177, aiogram.event
2024-04-23 15:27:07,990, INFO, Update id=111290346 is handled. Duration 280 ms by bot id=7172564177, aiogram.event
2024-04-23 15:27:19,575, INFO, Update id=111290347 is handled. Duration 531 ms by bot id=7172564177, aiogram.event
2024-04-23 15:27:20,315, INFO, Update id=111290348 is handled. Duration 359 ms by bot id=7172564177, aiogram.event
2024-04-23 15:27:21,863, INFO, Update id=111290349 is handled. Duration 327 ms by bot id=7172564177, aiogram.event
2024-04-23 15:27:37,358, INFO, Update id=111290350 is handled. Duration 452 ms by bot id=7172564177, aiogram.event
2024-04-23 15:27:38,477, INFO, Update id=111290351 is handled. Duration 264 ms by bot id=7172564177, aiogram.event
2024-04-23 15:27:40,155, INFO, Update id=111290352 is handled. Duration 342 ms by bot id=7172564177, aiogram.event
2024-04-23 15:27:41,712, INFO, Update id=111290353 is handled. Duration 500 ms by bot id=7172564177, aiogram.event
2024-04-23 15:27:44,278, INFO, Update id=111290354 is handled. Duration 281 ms by bot id=7172564177, aiogram.event
